Date,State,Vegetable Name,Wholesale Price,Retail Price,Mall Price,Unit,Vegetable Image
2024-05-03,Gujarat,Bitter Gourd,32,37 - 41,38 - 53,1kg,N/A
2024-05-03,Gujarat,Bottle Gourd,28,32 - 36,34 - 46,1kg,N/A
2024-05-03,Gujarat,Butter Beans,50,58 - 64,60 - 83,1kg,N/A
2024-05-03,Gujarat,Broad Beans,27,31 - 34,32 - 45,1kg,N/A
2024-05-03,Gujarat,Cabbage,21,24 - 27,25 - 35,1kg,N/A
2024-05-03,Gujarat,Carrot,43,49 - 55,52 - 71,1kg,N/A
2024-05-03,Gujarat,Cauliflower,25,29 - 32,30 - 41,1kg,N/A
2024-05-03,Gujarat,Cluster beans,43,49 - 55,52 - 71,1kg,N/A
2024-05-03,Gujarat,Coconut,36,41 - 46,43 - 59,1kg,N/A
2024-05-03,Gujarat,Colocasia Leaves,16,18 - 20,19 - 26,1kg,N/A
2024-05-03,Gujarat,Colocasia,25,29 - 32,30 - 41,1kg,N/A
2024-05-03,Gujarat,Coriander Leaves,9,10 - 11,11 - 15,1kg,N/A
2024-05-03,Gujarat,Corn,28,32 - 36,34 - 46,1kg,N/A
2024-05-03,Gujarat,Cucumber,26,30 - 33,31 - 43,1kg,N/A
2024-05-03,Gujarat,Curry Leaves,28,32 - 36,34 - 46,1kg,N/A
2024-05-03,Gujarat,Dill Leaves,10,12 - 13,12 - 17,1kg,N/A
2024-05-03,Gujarat,Drumsticks,40,46 - 51,48 - 66,1kg,N/A
2024-05-03,Gujarat,Brinjal,28,32 - 36,34 - 46,1kg,N/A
2024-05-03,Gujarat,Brinjal (Big),25,29 - 32,30 - 41,1kg,N/A
2024-05-03,Gujarat,Elephant Yam,26,30 - 33,31 - 43,1kg,N/A
2024-05-03,Gujarat,Fenugreek Leaves,10,12 - 13,12 - 17,1kg,N/A
2024-05-03,Gujarat,French Beans,47,54 - 60,56 - 78,1kg,N/A
2024-05-03,Gujarat,Garlic,161,185 - 204,193 - 266,1kg,N/A
2024-05-03,Gujarat,Ginger,112,129 - 142,134 - 185,1kg,N/A
2024-05-03,Gujarat,Onion Green,41,47 - 52,49 - 68,1kg,N/A
2024-05-03,Gujarat,Green Peas,48,55 - 61,58 - 79,1kg,N/A
2024-05-03,Gujarat,Ivy Gourd,25,29 - 32,30 - 41,1kg,N/A
2024-05-03,Gujarat,Lemon (Lime),75,86 - 95,90 - 124,1kg,N/A
2024-05-03,Gujarat,Mango Raw,26,30 - 33,31 - 43,1kg,N/A
2024-05-03,Gujarat,Mint Leaves,4,5 - 5,5 - 7,1kg,N/A
2024-05-03,Gujarat,Mushroom,81,93 - 103,97 - 134,1kg,N/A
2024-05-03,Gujarat,Mustard Leaves,17,20 - 22,20 - 28,1kg,N/A
